STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,AWND,WDF2,WSF2
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161117,0,-9999,0,47,59,32,6.9,330,19.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161118,0,-9999,0,47,64,36,4,30,10.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161119,0,-9999,0,45,64,32,4,160,14.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161120,0.5,-9999,0,43,48,32,15,300,32
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161121,0,-9999,0,33,36,31,13.6,280,25.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161122,0,-9999,0,33,39,30,15.7,300,28
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161123,0,-9999,0,34,43,28,9.2,310,21.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161124,0.16,-9999,0,34,41,30,4.9,360,8.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161125,0,-9999,0,39,45,37,2.7,350,8.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161126,0,-9999,0,41,47,29,4,340,13
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161127,0,-9999,0,36,46,27,6.3,300,21.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161128,0,-9999,0,35,50,21,2.2,260,10.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161129,1.11,-9999,0,36,58,30,3.4,170,13
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161130,0.57,-9999,0,47,50,38,4.5,40,13
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161201,0.3,0,0,48,57,36,8.9,290,30
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161202,0,0,0,41,51,31,9.2,290,21
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161203,0,0,0,41,46,33,13.9,320,25.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161204,0,0,0,36,42,28,6.7,330,16.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161205,0.04,0,0.4,32,43,29,3.8,250,10.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161206,0.02,0,0,38,46,27,4.9,150,12.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161207,0.14,0,0.1,37,41,33,3.8,360,8.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161208,0,0,0,34,44,27,5.4,320,18.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161209,0,0,0,31,37,22,11.6,310,25.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161210,0,0,0,24,33,13,6.7,290,19.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161211,0.05,0,0.5,21,33,9,4.3,200,13
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161212,0.5,2,2,33,42,29,6,290,15
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161213,0,1.2,0,35,40,27,6.5,280,16.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161214,0,1.2,0,35,40,24,6.9,300,18.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161215,0.02,0,0.3,25,31,16,17.7,310,31.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161216,0,0,0,15,22,5,8.9,300,32
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161217,0.72,1.2,6.5,22,32,20,2.9,320,8.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161218,0.1,5.9,0,37,51,27,11.2,310,32
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161219,0,2,0,24,27,12,8.7,330,21.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161220,0,2,0,15,29,3,5.1,210,15
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161221,0,2,0,28,39,16,4.3,220,15
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161222,0,2,0,31,41,26,5.1,310,17
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161223,0,1.2,0,38,45,30,7.6,310,21.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161224,0.35,1.2,0,37,43,32,8.7,200,21
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161225,0,0,0,41,47,26,10.7,330,19.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161226,0.03,0,0,27,42,18,5.1,170,13
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161227,0.02,0,0,47,56,35,11.4,210,21.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161228,0,0,0,36,40,28,8.5,320,19.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161229,0.4,0,0.4,30,36,24,3.8,300,18.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161230,0.01,0,0,34,40,27,12.3,280,25.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20161231,0.03,-9999,0,30,42,21,8.5,200,23
